Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
United Kingdom,Employed full-time,Medium,Database administrator,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,51000.0,70841.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,21,30000.0,41671.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,120000.0,120000.0
United States,Employed full-time,Medium,Back-end developer,22,Taken an online course in programming or software development (e.g. a MOOC),40,250000.0,250000.0
United Kingdom,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,25.0,420.0
United States,Employed full-time,Medium,Back-end developer,19,Participated in a full-time developer training program or bootcamp,50,75000.0,75000.0
India,Employed full-time,High,Mobile developer,5,Taken a part-time in-person course in programming or software development,30,700000.0,10958.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,75000.0,900000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,44000.0,44000.0
United States,Employed full-time,Medium,Full-stack developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,60000.0,60000.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,80000.0,80000.0
India,Employed full-time,Medium,Designer,1,"Taught yourself a new language, framework, or tool without taking a formal course",40,660000.0,123984.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,74000.0,74000.0
India,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,35000.0,6576.0
United States,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,115000.0,115000.0
United States,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",40,70000.0,70000.0
United States,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,90000.0,90000.0
United States,Employed full-time,Medium,Back-end developer,19,Taken a part-time in-person course in programming or software development,40,115000.0,115000.0
Germany,Employed full-time,Medium,Back-end developer,10,Completed an industry certification program (e.g. MCPD),40,5000.0,73428.0
United States,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,120000.0,120000.0
Germany,Employed full-time,Medium,Full-stack developer,1,Received on-the-job training in software development,21,40000.0,48955.0
United States,Employed full-time,Medium,Back-end developer,1,Participated in a full-time developer training program or bootcamp,30,3000.0,36000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken a part-time in-person course in programming or software development,30,32500.0,45144.0
United Kingdom,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,59500.0,82648.0
United States,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,78000.0,78000.0
United States,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,120000.0,120000.0
India,Employed full-time,High,Engineering manager,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,2200000.0,34440.0
India,Employed full-time,Medium,Back-end developer,1,Completed an industry certification program (e.g. MCPD),21,22000.0,4128.0
United States,Employed full-time,Medium,Front-end developer,7,Received on-the-job training in software development,30,141625.0,141625.0
